# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 125K of event 'cycles'
# Event count (approx.): 93452432520
#
# Children      Self  Command          Shared Object          Symbol                                 
# ........  ........  ...............  .....................  .......................................
#
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d17b
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] lapic_next_deadline
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000039586
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfadd681
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000003a018
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfade01f
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] psi_flags_change
     0.00%     0.00%  nbody3D_1_CLANG  libc.so.6              [.] __vsnprintf_chk
     0.00%     0.00%  nbody3D_1_CLANG  libc.so.6              [.] 0x0000000000028494
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] ___kmp_allocate
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] set_next_entity
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] rebalance_domains
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] tick_sched_do_timer
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] select_idle_sibling
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] select_task_rq_fair
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x0000000000000135
     0.00%     0.00%  nbody3D_1_CLANG  libc.so.6              [.] 0x00007f10bf828490
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] perf_ctx_enable
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000794db
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d4de
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000004805f
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfaec068
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] check_cpu_stall
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x000000000000000a
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __queue_work
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] psi_group_change
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] handle_edge_irq
     0.00%     0.00%  nbody3D_1_CLANG  nbody3D_1_CLANG_Ofast  [.] init
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x0000000000060d28
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb04d36
     0.00%     0.00%  nbody3D_1_CLANG  [unknown]              [.] 0x00007ffc9e43a8c1
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x000000000007910c
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d113
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] raw_spin_rq_unlock
     0.00%     0.00%  nbody3D_1_CLANG  [kernel.kallsyms]      [k] __cgroup_account_cputime
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00000000000790ab
     0.00%     0.00%  nbody3D_1_CLANG  libomp.so.5            [.] 0x00007f10bfb1d0f0
